,Time,User,Tweet
0,2022-11-29 21:25:49+00:00,foreignmusic11,"$AAPL patience pays off

#OptionsTrading #aapl #dia #spy #qqq #iwm #StockMarket #stocks #Financial #MONEY #investing #StocksToTrade https://t.co/Ed4WcuHnw3 https://t.co/sW4sVMxnrY"
1,2022-11-29 21:22:33+00:00,foreignmusic11,"$MSFT 😏 👀

#investing #meta #StockMarket #MONEY #patience #Financial #finance #StocksToBuy #iwm #qqq #spy #dia #Options https://t.co/wwG5wlMEcp https://t.co/xQ5cgBzRgt"
2,2022-11-29 21:18:05+00:00,PaulAsmar5,"ES SPY PM 11/29/22. Bears fail to get last weeks low but defend yesterda... https://t.co/dXAt3dB02b via @YouTube

Lackluster afternoon. https://t.co/uxkBQYwDxN #ES_F #SPY #QQQ #NQ #RTY #IWM #windotrader #futures #options #daytrading #algothealligator #stocks"
3,2022-11-29 21:12:53+00:00,CQGInc,"Today’s, 10 top/bottom percent net change performers in the #NASDAQ100 Index #Stocks #QQQ #NQ_F #NDX #NASDAQ $QQQ $JD $ILMN https://t.co/EdhA3NtAau"
4,2022-11-29 21:00:30+00:00,trendalertsx,"🚨 $QQQ Trend Change Alert 🚨

📈 Over 60% of InsiderFinance indicators predict bull trend on 1 hour chart

Learn more 👉 https://t.co/QN7hM9B6FB

#QQQ #Stocks #DayTrading #SwingTrading https://t.co/7KaU0XcMUv"
5,2022-11-29 20:56:44+00:00,Mariann93378145,"iHerb❤ クーポンコード（プロモコード)

✔DJY9122

初回 5%割引

リピーター $5割引

✔DJY9122

ビタミンC、マグネシウム、プロテインやダイエット、花粉、免疫力、筋トレ等におすすめ💫

#アイハーブ#iHerbクーポンコード #QQQ✓"
6,2022-11-29 20:53:47+00:00,leoventuresllc,#ipo #stocks #stockmarket #hedgefunds #speculation #investments #business #options #spy #qqq #dji #futures https://t.co/vKhHYJ6xUX
7,2022-11-29 20:41:20+00:00,SupraFast7159,"See those bears struggling? Big squeeze coming soon. Sellers are failing at support.

#SupraTrades #futures
#trading #indices
#nq_f #qqq #ndx #tqqq #sqqq
#es_f #spy #spx #spxl #spxs
#vx_f #vix #vxx #uvxy #uvix https://t.co/3v5kJgWUMZ"
8,2022-11-29 20:35:42+00:00,shoogahray,@Reformed_Trader Is that a bearish pennant forming on #QQQ?
9,2022-11-29 20:33:01+00:00,GrokTrade,"The SPY daily is holding up above the lower bound of a trading channel. Some investors are likely waiting for a decisive move one way or the other that could be ignited by economic data announcements tomorrow.

#SPY #DIA #QQQ #StockMarketUpdate #StockMarket #TechnicalAnalysis https://t.co/uRugQ7LPRv"
10,2022-11-29 20:30:24+00:00,trendalertsx,"🚨 $QQQ Trend Change Alert 🚨

📈 Over 60% of InsiderFinance indicators predict bull trend on 15 min chart

Learn more 👉 https://t.co/QN7hM9B6FB

#QQQ #Stocks #DayTrading #SwingTrading https://t.co/FBHePHnmqf"
11,2022-11-29 20:23:47+00:00,leoventuresllc,#nyse #cboe #spy #stockmarket #options #hedgefunds #money #stocks #investments #banking #qqq #dji https://t.co/M4Y7q2y8Ht
12,2022-11-29 20:14:42+00:00,HannesAntaszek,"RT @InvestingAngles: It looks like $QQQ could be the first one to make a Double Top here. Watchin... Beware...
#QQQ #NDX #NASDAQ100 $NQ htt…"
13,2022-11-29 20:07:26+00:00,mortytrades,Started paper trading yesterday. I used a vertical option strategy to short $SPY and it’s working so far! I only used trend lines and support and resistances. Cash out is @ 390.  Does anybody have suggestions for me? #QQQ #NYSE @studynikonomics https://t.co/kpCmX2Ng30
14,2022-11-29 20:03:02+00:00,TheTDTofficial_,#QQQ breaking support let's see if we can trade below this level and continue lower. We have been trading in a 279.5-281 zone for last 4 hrs. https://t.co/Hbv4jjYtEz
15,2022-11-29 19:58:51+00:00,ABHIJIT82428685,"RT @Jake__Wujastyk: $QQQ #QQQ Intraday breakdown of the descending triangle but barely holding above the zone for now. 

Daily close is imp…"
16,2022-11-29 19:58:22+00:00,TheTDTofficial,#QQQ breaking support let's see if we can trade below this level and continue lower. We have been trading in a 279.5-281 zone for last 4 hrs. https://t.co/bA25zB3o2L
17,2022-11-29 19:55:50+00:00,jaymeetrades,"RT @Jake__Wujastyk: $QQQ #QQQ Intraday breakdown of the descending triangle but barely holding above the zone for now. 

Daily close is imp…"
18,2022-11-29 19:45:12+00:00,trendalertsx,"🚨 $QQQ Trend Change Alert 🚨

📉 Over 60% of InsiderFinance indicators predict bear trend on 15 min chart

Learn more 👉 https://t.co/QN7hM9B6FB

#QQQ #Stocks #DayTrading #SwingTrading https://t.co/82rcPyY6LA"
19,2022-11-29 19:45:05+00:00,InvestingAngles,"It looks like $QQQ could be the first one to make a Double Top here. Watchin... Beware...
#QQQ #NDX #NASDAQ100 $NQ https://t.co/70i9901IkQ"
20,2022-11-29 19:41:06+00:00,Sunrise1271,"RT @Jake__Wujastyk: $QQQ #QQQ Intraday breakdown of the descending triangle but barely holding above the zone for now. 

Daily close is imp…"
21,2022-11-29 19:32:52+00:00,pvenkiraju,"RT @Jake__Wujastyk: $QQQ #QQQ Intraday breakdown of the descending triangle but barely holding above the zone for now. 

Daily close is imp…"
22,2022-11-29 19:29:44+00:00,SupraFast7159,BULLISH Power Hour Setup: Bulls might see some rotation/reversal going higher.  Too many bears chased; seller failure setup #SupraTrades #futures $QQQ $NQ_F $TQQQ $SQQQ $SPY $ES_F $SPX $SPXL $VIX #trading #indices #es_f #spy #spx #spxl #spxs #vix #nq_f #qqq #tqqq #sqqq https://t.co/GCGcOkr6ld https://t.co/q284uAGrn2
23,2022-11-29 19:15:33+00:00,MIYACH381,"前週から🇺🇸株式市場の上値は重い。典型的なBearMarketRallyである。
S＆P500は4,000ptで上値が完全に抑えられている。
このChartからMOVE（債券版VIX）との逆相関が粗一致していて、全ては金利次第で株価が動いていることが分かる。
当然ながら、14:00現在Nasdaqも軟調に推移している。＃SPY #QQQ https://t.co/Nytb72clh5"
24,2022-11-29 19:15:13+00:00,trendalertsx,"📈 $QQQ Bull Swing Signal 📈

🚀 Over 90% of InsiderFinance indicators predict bull trend on 15 min chart

Learn more 👉 https://t.co/QN7hM9B6FB

#QQQ #Stocks #DayTrading #SwingTrading https://t.co/k7laCtWbs0"
25,2022-11-29 19:02:52+00:00,SupraFast7159,"$ES_F $NQ_F $QQQ $SPY $SPX Bull Setup Idea into the close #futures 
 
#SupraTrades #trading #indices #es_f #spy #spx #spxl #spxs #vix #vx_f #nq_f #qqq #ndx #tqqq #sqqq https://t.co/YZGcvwwsds"
26,2022-11-29 18:44:06+00:00,Dontshortspy,"$QQQ #QQQ Arguably the most crucial price range since QQQ's all-time highs. Most significant/largest point of control on the volume shelf (most shares traded). Above good, bellow bad. https://t.co/OXdlrlgwgd"
27,2022-11-29 18:39:44+00:00,ronald_rhd64,"RT @Jake__Wujastyk: $QQQ #QQQ Intraday breakdown of the descending triangle but barely holding above the zone for now. 

Daily close is imp…"
28,2022-11-29 18:30:06+00:00,trendalertsx,"📉 $QQQ Bear Swing Signal 📉

🚀 Over 90% of InsiderFinance indicators predict bear trend on 15 min chart

Learn more 👉 https://t.co/QN7hM9B6FB

#QQQ #Stocks #DayTrading #SwingTrading https://t.co/ewosOX7Cd6"
29,2022-11-29 18:23:51+00:00,magicko123,"RT @Jake__Wujastyk: $QQQ #QQQ Intraday breakdown of the descending triangle but barely holding above the zone for now. 

Daily close is imp…"
